episode,metric,N,K,Q,top1,top3,ts
26,cosine,5,5,10,0.19999998807907104,0.7999999523162842,1762981326
26,euclidean,5,5,10,0.19999998807907104,0.19999998807907104,1762981326
27,cosine,5,5,10,0.19999998807907104,0.5999999642372131,1762981326
27,euclidean,5,5,10,0.0,0.19999998807907104,1762981326
28,cosine,5,5,10,0.19999998807907104,0.3999999761581421,1762981326
28,euclidean,5,5,10,0.3999999761581421,0.7999999523162842,1762981326
29,cosine,5,5,10,0.19999998807907104,0.19999998807907104,1762981326
29,euclidean,5,5,10,0.19999998807907104,0.5999999642372131,1762981326
30,cosine,5,5,10,0.19999998807907104,0.19999998807907104,1762981326
30,euclidean,5,5,10,0.19999998807907104,0.7999999523162842,1762981326
31,cosine,5,5,10,0.19999998807907104,0.5999999642372131,1762981326
31,euclidean,5,5,10,0.0,0.3999999761581421,1762981327
32,cosine,5,5,10,0.0,0.3999999761581421,1762981327
32,euclidean,5,5,10,0.0,0.0,1762981327
33,cosine,5,5,10,0.3999999761581421,0.7999999523162842,1762981327
33,euclidean,5,5,10,0.19999998807907104,0.5999999642372131,1762981327
34,cosine,5,5,10,0.0,0.5999999642372131,1762981327
34,euclidean,5,5,10,0.3999999761581421,0.5999999642372131,1762981327
35,cosine,5,5,10,0.19999998807907104,0.3999999761581421,1762981327
35,euclidean,5,5,10,0.19999998807907104,0.3999999761581421,1762981327
36,cosine,5,5,10,0.19999998807907104,0.3999999761581421,1762981327
36,euclidean,5,5,10,0.19999998807907104,0.5999999642372131,1762981327
37,cosine,5,5,10,0.3999999761581421,0.7999999523162842,1762981327
37,euclidean,5,5,10,0.3999999761581421,0.7999999523162842,1762981327
38,cosine,5,5,10,0.3999999761581421,0.3999999761581421,1762981327
38,euclidean,5,5,10,0.19999998807907104,0.5999999642372131,1762981327
39,cosine,5,5,10,0.19999998807907104,0.19999998807907104,1762981327
39,euclidean,5,5,10,0.19999998807907104,0.5999999642372131,1762981327
40,cosine,5,5,10,0.3999999761581421,0.7999999523162842,1762981327
40,euclidean,5,5,10,0.19999998807907104,0.19999998807907104,1762981327
41,cosine,5,5,10,0.0,0.7999999523162842,1762981327
41,euclidean,5,5,10,0.19999998807907104,0.5999999642372131,1762981327
42,cosine,5,5,10,0.3999999761581421,0.5999999642372131,1762981327
42,euclidean,5,5,10,0.19999998807907104,0.3999999761581421,1762981327
43,cosine,5,5,10,0.19999998807907104,0.5999999642372131,1762981327
43,euclidean,5,5,10,0.3999999761581421,0.5999999642372131,1762981328
44,cosine,5,5,10,0.19999998807907104,0.19999998807907104,1762981328
44,euclidean,5,5,10,0.19999998807907104,0.7999999523162842,1762981328
45,cosine,5,5,10,0.3999999761581421,0.7999999523162842,1762981328
